epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.29019,0.70449,0.57143,1,0.66208,0,0,0
2,6.2069,0.70386,0.57143,1,0.66783,1.50197e-05,1.50197e-05,1.50197e-05
3,8.14476,0.70179,0.57143,1,0.66636,2.67387e-05,2.67387e-05,2.67387e-05
4,10.0999,0.66498,0.57143,1,0.64046,3.5157e-05,3.5157e-05,3.5157e-05
5,12.0179,0.68144,0.57143,1,0.63209,4.02747e-05,4.02747e-05,4.02747e-05
6,13.9203,0.63683,0.57143,1,0.61566,4.20917e-05,4.20917e-05,4.20917e-05
7,15.9218,0.4999,0.57143,1,0.60218,4.06081e-05,4.06081e-05,4.06081e-05
8,17.8699,0.47328,0.57143,1,0.58417,3.58238e-05,3.58238e-05,3.58238e-05
9,19.8286,0.44993,0.57143,1,0.5762,2.77389e-05,2.77389e-05,2.77389e-05
10,21.7658,0.41843,0.57143,1,0.57111,1.63533e-05,1.63533e-05,1.63533e-05
